days,target1,target2,target3,target4,target5,target6,target7,target8,target9,target10,target11,target12,target13,target14,target15,target16,target17,target18
182,0.000081094506,0.00041801482,0.0005530033,0.00042248482,,0.0014801548,0.0000033023357,-0.000006413067,,,0.0033567925,0.006280594,-0.000052974083,0.00047674525,0.000012782664,0.00039175537,0.0027396916,0.0009898337
189,-0.000016335729,0.0000053942385,0.000025896314,0.0010377201,,0.00018686926,0.0002112336,-0.0017676849,,,0.001747092,0.00015962945,-0.008045184,-0.0005906705,-0.0010757411,-0.00012821636,0.00002018084,0.0007159135
196,-0.002475932,0.005972479,0.002442921,0.00021427772,,0.00805635,0.0003565997,-0.0026469023,,,0.000026963136,0.00018499063,-0.0020711008,0.00028678207,-0.00006692704,0.000050720006,0.006926478,0.00011338135
203,-0.0036372084,-0.0000027040303,-0.009172679,0.00009328587,,-0.012914281,-0.00033128666,-0.007685481,,,-0.00030491478,-0.000050342227,-0.026949191,-0.00055229844,-0.001176713,-0.00030724244,0.0000006523044,-0.00036444646
210,-0.00012604955,-0.0004982266,-0.000051012845,0.0005276802,,-0.000016776165,-0.00029858452,-0.0025957192,,,-0.00074925733,-0.000029058107,-0.00016911821,0.000028487539,-0.0035807993,-0.0017861379,-0.000098572695,-0.00029874727
217,-0.00030163844,0.0020444335,0.0000006240598,0.000031439795,,0.000011495178,-0.00009473037,-0.00072335365,,,0.00014453888,0.0029411025,0.001009293,0.004899535,0.00015361159,-0.0011400646,0.0007007584,-0.0003888947
224,-0.000004675533,0.00006157436,0.0007162122,0.0007320144,,0.0005066538,-0.00011345638,-0.0063104453,,,0.0000028817217,0.000040149687,0.00016865128,-0.00014847252,-0.0002333539,-0.000008027387,0.00013639015,-0.00095601135
231,-0.00024147583,0.0012594278,0.0045544133,0.00017822953,,0.00012960662,0.00024715308,0.00006603058,,,0.000099589386,0.000024825853,0.00025228565,-0.00008534889,0.0011191915,0.00007017435,0.00000093692853,0.000062831714
238,0.00029178933,0.00016097623,0.005917778,0.0004251922,,0.0000160542,-0.00017154522,0.00001442884,,,0.006775747,0.00020150281,0.02582306,-0.000395604,0.00014296011,0.00039442885,0.00035067735,-0.000019453579
245,0.0035611372,0.000081318656,0.000008347567,0.013976514,,0.00056684035,0.0000026198645,0.00020226209,,,0.0004987956,0.0002083284,0.00045637807,0.01936724,-0.00006005344,0.0010729657,0.00028935014,0.0026654243
252,0.0008205064,0.003323122,0.0049190028,0.0061920127,,0.0005585613,0.00000024074188,0.021637667,,,0.00010877768,0.00015738852,0.0018549435,0.00040123131,0.0038666097,0.00073619606,0.00417984,0.0012671812
259,0.000018214285,0.0035825563,0.0024074481,0.00017986949,,0.00003874133,0.000034456763,0.001810481,,,0.0011641681,0.00012626594,0.00028466902,0.002158481,0.002217374,0.0000017079736,0.0073139,0.00042641378
266,0.00006530599,0.000034504676,0.0000074708514,0.00007585859,,-0.00022852034,0.000022074613,0.00027122739,,,0.000115222596,0.0004136736,0.001407485,0.000013362465,0.000044037268,0.00034140563,-0.000017723114,0.016449085
273,0.0023888932,0.0013147016,0.0000040872897,0.006647855,,0.000006025989,0.00022030773,0.0005620884,,,0.000851864,-0.0000046092814,-0.000074355165,0.00048296526,0.0024117504,0.0003633239,-0.00038149077,0.000012983208
280,-0.00012476025,0.0000013319827,0.00254294,0.00018937951,,0.000008130404,0.00015393247,0.000044037333,,,0.000001838434,-0.000008465384,0.0038424497,0.002912641,0.0020181835,-0.0017259037,-0.00097076554,-0.00014015779
287,-0.0015344576,0.00000010808986,-0.0016050711,0.000043467717,,-0.0000009568201,0.000101891295,0.0000081951075,,,0.00013154138,-0.00006887422,0.00026297368,0.0002476236,0.000013261062,-0.0006600524,-0.0003052757,-0.00023249538
294,-0.00043199834,0.00013148424,0.000024138331,0.0017003935,,-0.00014307661,0.000009685975,-0.0008561465,,,0.00044353752,-0.0000059146605,0.000029338178,0.0000010374856,0.007246127,-0.0012005053,-0.00066376437,-0.000009960905
301,-0.00001997834,0.00032863545,-0.0009975787,0.000767698,,-0.000045998073,-0.000018152641,-0.0031714204,,,0.000018667968,-0.00011120821,0.00022129189,-0.0014522629,0.00008440552,-0.0018780921,-0.00016011664,-0.000016916758
308,0.00003455494,0.000100051264,0.00010554623,0.00033844932,,-0.000007934156,-0.000040410123,-0.00024605857,,,0.000000058329025,0.000040666906,0.0011592578,-0.0056698383,0.000010121506,0.0031049943,-0.000021175289,0.0025196278
315,0.004624367,0.001035449,0.00068276626,0.0001251478,,0.00030558914,0.00014515221,0.0012481004,,,0.00013117015,0.0022610917,0.012992613,0.018318659,0.0014511078,0.00078693626,0.0033389465,0.0048684156
322,0.0069183577,0.0000961571,0.0088926535,0.00071854226,,0.0023937635,0.0011080265,0.0007463878,,,0.0031140728,0.0020867651,0.0046993736,0.00061892875,0.000051838648,0.0033773817,0.0012258574,0.00003020207
329,0.0005573666,0.010571645,0.0045237574,0.000600499,,0.007341214,0.0051936586,0.0017202666,,,0.0022187936,0.0059813973,0.013821007,0.002021997,0.0004427869,0.000565,0.00039013225,0.0006364659
336,0.0014240057,0.0060005127,0.0011963397,0.0008628585,,0.009596758,0.000011099198,0.0026895655,,,0.0001366567,0.00006024227,0.0001266313,0.0020900955,0.0013843494,0.006744171,0.0006770942,0.0000026053815
